isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.793838500976562
0,0,0,0,12.661755561828613
0,0,0,0,12.536985397338867
0,0,0,0,12.411388397216797
0,0,0,0,12.279132843017578
0,0,0,0,12.14925765991211
0,0,0,0,12.018826484680176
0,0,0,0,11.888036727905273
0,0,0,0,11.75161361694336
0,0,0,0,11.606948852539062
0,0,0,0,11.480441093444824
0,0,0,0,11.36186695098877
0,0,0,0,11.229686737060547
0,0,0,0,11.113035202026367
0,0,0,0,10.992206573486328
0,0,0,0,10.86946964263916
0,0,0,0,10.741792678833008
0,0,0,0,10.602293014526367
0,0,0,0,10.463889122009277
0,0,0,0,10.334729194641113
0,0,0,0,10.193710327148438
0,0,0,0,10.042473793029785
0,0,0,0,9.91607666015625
0,0,0,0,9.802314758300781
0,0,0,0,9.687237739562988
0,0,0,0,9.487740516662598
0,0,0,0,9.354572296142578
0,0,0,0,9.216615676879883
0,0,0,0,9.112975120544434
0,0,0,0,8.999670028686523
0,0,0,0,8.876323699951172
0,0,0,0,8.747820854187012
0,0,0,0,8.614394187927246
0,0,0,0,8.479455947875977
0,0,0,0,8.33483600616455
0,0,0,0,8.197704315185547
0,0,0,0,8.072891235351562
0,0,0,0,7.965219974517822
0,0,0,0,7.839385509490967
0,0,0,0,7.723059177398682
0,0,0,0,7.59819221496582
0,0,0,0,7.473485469818115
0,0,0,0,7.338210582733154
0,0,0,0,7.193459510803223
0,0,0,0,7.059797286987305
0,0,0,0,6.9342546463012695
0,0,0,0,6.815169811248779
0,0,0,0,6.695921897888184
0,0,0,0,6.566799640655518
0,0,0,0,6.446730136871338
0,0,0,0,6.316773891448975
0,0,0,0,6.165914058685303
0,0,0,0,6.017523765563965
0,0,0,0,5.855506896972656
0,0,0,0,5.743741512298584
0,0,0,0,5.62548828125
0,0,0,0,5.496185302734375
0,0,0,0,5.380105495452881
0,0,0,0,5.263793468475342
0,0,0,0,5.13464879989624
0,0,0,0,5.008897304534912
0,0,0,0,4.864663124084473
0,0,0,0,4.722689628601074
0,0,0,0,4.585801601409912
0,0,0,0,4.440499782562256
0,0,0,0,4.325379848480225
0,0,0,0,4.211276531219482
0,0,0,0,4.099184036254883
0,0,0,0,3.9769225120544434
0,0,0,0,3.834885358810425
0,0,0,0,3.707768201828003
0,0,0,0,3.572660446166992
0,0,0,0,107.86700439453125
0,0,0,0,107.85810852050781
0,0,0,0,107.71810913085938
0,0,0,0,107.56466674804688
0,0,0,0,107.3804702758789
0,0,0,0,107.22579193115234
0,0,0,0,107.06938934326172
0,0,0,0,106.90677642822266
0,0,0,0,106.74612426757812
0,0,0,0,106.58724212646484
0,0,0,0,106.43070220947266
0,0,0,0,106.2764663696289
0,0,0,0,106.11200714111328
0,0,0,0,105.98628997802734
0,0,0,0,105.8327865600586
0,0,0,0,105.63739013671875
0,0,0,0,105.49468994140625
0,0,0,0,105.36824035644531
0,0,0,0,105.23358154296875
0,0,0,0,105.08541870117188
0,0,0,0,104.93616485595703
0,0,0,0,104.78327941894531
0,0,0,0,104.62663269042969
0,0,0,0,104.46219635009766
0,0,0,0,104.32304382324219
0,0,0,0,104.16547393798828
0,0,0,0,104.0114517211914
0,0,0,0,103.8632583618164
0,0,0,0,103.70622253417969
0,0,0,0,103.55799865722656
0,0,0,0,103.40062713623047
0,0,0,0,103.2492446899414
0,0,0,0,103.09866333007812
0,0,0,0,102.94200897216797
0,0,0,0,102.7970962524414
0,0,0,0,102.634765625
0,0,0,0,102.47450256347656
0,0,0,0,102.33109283447266
0,0,0,0,102.1979751586914
0,0,0,0,102.02888488769531
0,0,0,0,101.88216400146484
0,0,0,0,101.73680877685547
0,0,0,0,101.58568572998047
0,0,0,0,101.4239730834961
0,0,0,0,101.27527618408203
0,0,0,0,101.12671661376953
0,0,0,0,100.97280883789062
0,0,0,0,100.82918548583984
0,0,0,0,100.67354583740234
0,0,0,0,100.51885223388672
0,0,0,0,100.3647689819336
0,0,0,0,100.21825408935547
0,0,0,0,100.0718994140625
0,0,0,0,99.90133666992188
0,0,0,0,99.73426818847656
0,0,0,0,99.58641052246094
0,0,0,0,99.44461822509766
0,0,0,0,99.30859375
0,0,0,0,99.1679458618164
0,0,0,0,98.99534606933594
0,0,0,0,98.83521270751953
0,0,0,0,98.6875991821289
0,0,0,0,98.53679656982422
0,0,0,0,98.38246154785156
0,0,0,0,98.21249389648438
0,0,0,0,98.07322692871094
0,0,0,0,97.93391418457031
0,0,0,0,97.75250244140625
0,0,0,0,97.60340881347656
0,0,0,0,97.419921875
0,0,0,0,97.2352066040039
0,0,0,0,97.11508178710938
0,0,0,0,96.99432373046875
0,0,0,0,96.85380554199219
0,0,0,0,96.7021484375
0,0,0,0,96.54879760742188
0,0,0,0,96.37703704833984
0,0,0,0,96.21430206298828
0,0,0,0,96.06552124023438
0,0,0,0,95.91905212402344
