isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.77295207977295
0,0,0,0,12.63295841217041
0,0,0,0,12.492145538330078
0,0,0,0,12.360840797424316
0,0,0,0,12.225515365600586
0,0,0,0,12.082160949707031
0,0,0,0,11.949206352233887
0,0,0,0,11.824056625366211
0,0,0,0,11.708354949951172
0,0,0,0,11.575571060180664
0,0,0,0,11.422744750976562
0,0,0,0,11.29721736907959
0,0,0,0,11.172807693481445
0,0,0,0,11.039624214172363
0,0,0,0,10.914687156677246
0,0,0,0,10.779132843017578
0,0,0,0,10.645670890808105
0,0,0,0,10.518889427185059
0,0,0,0,10.388458251953125
0,0,0,0,10.257006645202637
0,0,0,0,10.121119499206543
0,0,0,0,9.995981216430664
0,0,0,0,9.858263969421387
0,0,0,0,9.722956657409668
0,0,0,0,9.603612899780273
0,0,0,0,9.480175971984863
0,0,0,0,9.349577903747559
0,0,0,0,9.221138954162598
0,0,0,0,9.091655731201172
0,0,0,0,8.959709167480469
0,0,0,0,8.816478729248047
0,0,0,0,8.68324089050293
0,0,0,0,8.55893325805664
0,0,0,0,8.426376342773438
0,0,0,0,8.319055557250977
0,0,0,0,8.170572280883789
0,0,0,0,8.020367622375488
0,0,0,0,7.909146308898926
0,0,0,0,7.796929359436035
0,0,0,0,7.679324150085449
0,0,0,0,7.546783447265625
0,0,0,0,7.425922870635986
0,0,0,0,7.298993110656738
0,0,0,0,7.1489152908325195
0,0,0,0,7.016979217529297
0,0,0,0,6.894795894622803
0,0,0,0,6.773923873901367
0,0,0,0,6.65455961227417
0,0,0,0,6.529223442077637
0,0,0,0,6.402252674102783
0,0,0,0,6.264704704284668
0,0,0,0,6.072622299194336
0,0,0,0,5.9448933601379395
0,0,0,0,5.827034950256348
0,0,0,0,5.708932399749756
0,0,0,0,5.582808017730713
0,0,0,0,5.459112167358398
0,0,0,0,5.35398006439209
0,0,0,0,5.2091474533081055
0,0,0,0,5.070247650146484
0,0,0,0,4.939885139465332
0,0,0,0,4.814136505126953
0,0,0,0,4.696042060852051
0,0,0,0,4.578300952911377
