isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.801966667175293
0,0,0,0,12.660016059875488
0,0,0,0,12.523258209228516
0,0,0,0,12.375714302062988
0,0,0,0,12.229902267456055
0,0,0,0,12.09281063079834
0,0,0,0,11.940059661865234
0,0,0,0,11.824740409851074
0,0,0,0,11.71175479888916
0,0,0,0,11.588850021362305
0,0,0,0,11.464547157287598
0,0,0,0,11.295015335083008
0,0,0,0,11.137955665588379
0,0,0,0,11.017072677612305
0,0,0,0,10.896960258483887
0,0,0,0,10.756860733032227
0,0,0,0,10.62729549407959
0,0,0,0,10.488719940185547
0,0,0,0,10.365031242370605
0,0,0,0,10.248348236083984
0,0,0,0,10.132229804992676
0,0,0,0,9.996776580810547
0,0,0,0,9.859040260314941
0,0,0,0,9.711015701293945
0,0,0,0,9.585394859313965
0,0,0,0,9.460241317749023
0,0,0,0,9.336901664733887
0,0,0,0,9.224250793457031
0,0,0,0,9.099932670593262
0,0,0,0,8.964855194091797
0,0,0,0,8.822407722473145
0,0,0,0,8.68766975402832
0,0,0,0,8.551532745361328
0,0,0,0,8.422062873840332
0,0,0,0,8.30523681640625
0,0,0,0,8.189593315124512
0,0,0,0,8.063859939575195
0,0,0,0,7.938868522644043
0,0,0,0,7.812456130981445
0,0,0,0,7.677191734313965
0,0,0,0,7.548988342285156
0,0,0,0,7.42834997177124
0,0,0,0,7.319733619689941
0,0,0,0,7.170909881591797
0,0,0,0,7.033544063568115
0,0,0,0,6.904499530792236
0,0,0,0,6.781976699829102
0,0,0,0,6.668910026550293
0,0,0,0,6.545498371124268
0,0,0,0,6.416368007659912
0,0,0,0,6.266030311584473
0,0,0,0,6.144796848297119
0,0,0,0,6.033748626708984
0,0,0,0,5.915349006652832
0,0,0,0,5.788851261138916
0,0,0,0,5.659467697143555
0,0,0,0,5.52777624130249
0,0,0,0,5.39176082611084
0,0,0,0,5.233728408813477
0,0,0,0,5.117378234863281
0,0,0,0,5.001399517059326
0,0,0,0,4.8788652420043945
0,0,0,0,4.758720874786377
0,0,0,0,4.632744312286377
0,0,0,0,4.488384246826172
0,0,0,0,4.358356475830078
0,0,0,0,4.224730968475342
0,0,0,0,4.077567100524902
0,0,0,0,3.967198371887207
0,0,0,0,3.846836805343628
0,0,0,0,3.713313102722168
0,0,0,0,3.5993354320526123
0,0,0,0,107.88867950439453
0,0,0,0,107.87271881103516
0,0,0,0,107.70552825927734
0,0,0,0,107.54193878173828
0,0,0,0,107.3293228149414
0,0,0,0,107.17982482910156
0,0,0,0,107.02266693115234
0,0,0,0,106.86505889892578
0,0,0,0,106.71942138671875
0,0,0,0,106.5953369140625
0,0,0,0,106.43608093261719
0,0,0,0,106.28874969482422
0,0,0,0,106.14411163330078
0,0,0,0,105.98243713378906
0,0,0,0,105.83208465576172
0,0,0,0,105.67755126953125
0,0,0,0,105.51785278320312
0,0,0,0,105.35533905029297
0,0,0,0,105.21449279785156
0,0,0,0,105.08973693847656
0,0,0,0,104.94218444824219
0,0,0,0,104.80350494384766
0,0,0,0,104.65293884277344
0,0,0,0,104.50457000732422
0,0,0,0,104.35086059570312
0,0,0,0,104.18560791015625
0,0,0,0,103.97969055175781
0,0,0,0,103.82884979248047
0,0,0,0,103.7095718383789
0,0,0,0,103.58647918701172
0,0,0,0,103.42792510986328
0,0,0,0,103.26921081542969
0,0,0,0,103.1304931640625
0,0,0,0,102.9773941040039
0,0,0,0,102.8202896118164
0,0,0,0,102.649658203125
0,0,0,0,102.48190307617188
0,0,0,0,102.33336639404297
0,0,0,0,102.20414733886719
0,0,0,0,102.05340576171875
0,0,0,0,101.92158508300781
0,0,0,0,101.77530670166016
0,0,0,0,101.6189193725586
0,0,0,0,101.45938873291016
0,0,0,0,101.3006820678711
0,0,0,0,101.14464569091797
0,0,0,0,100.98992919921875
0,0,0,0,100.86515808105469
0,0,0,0,100.72550964355469
0,0,0,0,100.55978393554688
0,0,0,0,100.42119598388672
0,0,0,0,100.2693862915039
0,0,0,0,100.11380004882812
0,0,0,0,99.95355987548828
0,0,0,0,99.75898742675781
0,0,0,0,99.6050033569336
0,0,0,0,99.47603607177734
0,0,0,0,99.33546447753906
0,0,0,0,99.20452117919922
0,0,0,0,99.00719451904297
0,0,0,0,98.86483764648438
0,0,0,0,98.7234115600586
0,0,0,0,98.57455444335938
0,0,0,0,98.43988037109375
0,0,0,0,98.29153442382812
0,0,0,0,98.14179992675781
0,0,0,0,97.98967742919922
0,0,0,0,97.84403991699219
0,0,0,0,97.69087982177734
0,0,0,0,97.54192352294922
0,0,0,0,97.38788604736328
0,0,0,0,97.23914337158203
0,0,0,0,97.08563232421875
0,0,0,0,96.94541931152344
0,0,0,0,96.78197479248047
0,0,0,0,96.6404037475586
0,0,0,0,96.48809051513672
0,0,0,0,96.3493881225586
0,0,0,0,96.20777893066406
0,0,0,0,96.0496597290039
0,0,0,0,95.88490295410156
0,0,0,0,95.730712890625
0,0,0,0,95.54186248779297
0,0,0,0,95.40596771240234
0,0,0,0,95.27230072021484
0,0,0,0,95.14990997314453
0,0,0,0,95.00345611572266
0,0,0,0,94.85543060302734
0,0,0,0,94.70397186279297
0,0,0,0,94.54219055175781
0,0,0,0,94.3729476928711
0,0,0,0,94.1996841430664
0,0,0,0,94.02023315429688
0,0,0,0,93.88044738769531
0,0,0,0,93.73838806152344
0,0,0,0,93.5937271118164
0,0,0,0,93.47026062011719
0,0,0,0,93.33367156982422
0,0,0,0,93.15023040771484
0,0,0,0,93.01051330566406
0,0,0,0,92.84513092041016
0,0,0,0,92.65303039550781
0,0,0,0,92.50254821777344
0,0,0,0,92.3534164428711
0,0,0,0,92.18203735351562
0,0,0,0,92.03426361083984
0,0,0,0,91.90061950683594
0,0,0,0,91.7656021118164
0,0,0,0,91.64995574951172
0,0,0,0,91.4979019165039
0,0,0,0,91.30451965332031
0,0,0,0,91.16753387451172
0,0,0,0,91.01360321044922
0,0,0,0,90.856201171875
0,0,0,0,90.71481323242188
0,0,0,0,90.52023315429688
0,0,0,0,90.38126373291016
0,0,0,0,90.25845336914062
0,0,0,0,90.12811279296875
0,0,0,0,89.98690795898438
0,0,0,0,89.82472229003906
0,0,0,0,89.68412017822266
0,0,0,0,89.51004791259766
0,0,0,0,89.36192321777344
0,0,0,0,89.20549774169922
0,0,0,0,89.05699920654297
0,0,0,0,88.91255950927734
0,0,0,0,88.76361846923828
0,0,0,0,88.62423706054688
0,0,0,0,88.47455596923828
0,0,0,0,88.29835510253906
0,0,0,0,88.16438293457031
0,0,0,0,88.01329803466797
0,0,0,0,87.89179229736328
0,0,0,0,87.74195098876953
0,0,0,0,87.60206604003906
0,0,0,0,87.44488525390625
0,0,0,0,87.28971099853516
0,0,0,0,87.09443664550781
0,0,0,0,86.94103240966797
0,0,0,0,86.81086730957031
0,0,0,0,86.68128967285156
0,0,0,0,86.53572845458984
0,0,0,0,86.39143371582031
0,0,0,0,86.24066162109375
0,0,0,0,86.07365417480469
0,0,0,0,85.9389877319336
0,0,0,0,85.78609466552734
0,0,0,0,85.61345672607422
0,0,0,0,85.4555892944336
0,0,0,0,85.32626342773438
0,0,0,0,85.19894409179688
0,0,0,0,85.07059478759766
0,0,0,0,84.93287658691406
0,0,0,0,84.78443145751953
0,0,0,0,84.62400817871094
0,0,0,0,84.45745086669922
0,0,0,0,84.29961395263672
0,0,0,0,84.15699005126953
0,0,0,0,84.02845001220703
0,0,0,0,83.90497589111328
0,0,0,0,83.76361846923828
0,0,0,0,83.61813354492188
0,0,0,0,83.47270965576172
0,0,0,0,83.30120849609375
0,0,0,0,83.16450500488281
0,0,0,0,83.0169448852539
0,0,0,0,82.85709381103516
0,0,0,0,82.71528625488281
0,0,0,0,82.5948715209961
0,0,0,0,82.47306060791016
0,0,0,0,82.2740707397461
0,0,0,0,82.11931610107422
0,0,0,0,81.97035217285156
0,0,0,0,81.8358383178711
1,0,0,0,81.70726776123047
1,0,0,0,81.5742416381836
1,0,0,0,81.44506072998047
1,0,0,0,81.29064178466797
1,0,0,0,81.13335418701172
1,0,0,0,80.97010040283203
1,0,0,0,80.82109832763672
1,0,0,0,80.68362426757812
1,0,0,0,80.53267669677734
1,0,0,0,80.40249633789062
1,0,0,0,80.248046875
1,0,0,0,80.10294342041016
1,0,0,0,79.96122741699219
1,0,0,0,79.82188415527344
1,0,0,0,79.67363739013672
1,0,0,0,79.53143310546875
1,0,0,0,79.37522888183594
1,0,0,0,79.2270736694336
1,0,0,0,79.08090209960938
1,0,0,0,78.93704223632812
1,0,0,0,78.80436706542969
1,0,0,0,78.65830993652344
1,0,0,0,78.52377319335938
1,0,0,0,78.3839111328125
0,0,0,0,78.23592376708984
0,0,0,0,78.09127044677734
0,0,0,0,77.94708251953125
0,0,0,0,77.79944610595703
0,0,0,0,77.64568328857422
0,0,0,0,77.50422668457031
0,0,0,0,77.36115264892578
0,0,0,0,77.2329330444336
0,0,0,0,77.08380889892578
0,0,0,0,76.92975616455078
0,0,0,0,76.77532196044922
0,0,0,0,76.63865661621094
0,0,0,0,76.49746704101562
0,0,0,0,76.34735107421875
0,0,0,0,76.19623565673828
0,0,0,0,76.02560424804688
0,0,0,0,75.82310485839844
0,0,0,0,75.67518615722656
0,0,0,0,75.52841186523438
0,0,0,0,75.35784912109375
0,0,0,0,75.22107696533203
0,0,0,0,75.05281829833984
0,0,0,0,74.88085174560547
0,0,0,0,74.7386703491211
0,0,0,0,74.58888244628906
0,0,0,0,74.43541717529297
0,0,0,0,74.31140899658203
0,0,0,0,74.1834487915039
0,0,0,0,74.0620346069336
0,0,0,0,73.86958312988281
0,0,0,0,73.7313003540039
0,0,0,0,73.58814239501953
0,0,0,0,73.4610595703125
0,0,0,0,73.33140563964844
0,0,0,0,73.21000671386719
0,0,0,0,73.07499694824219
0,0,0,0,72.89632415771484
0,0,0,0,72.74980926513672
0,0,0,0,72.611328125
0,0,0,0,72.471435546875
0,0,0,0,72.33528900146484
0,0,0,0,72.20443725585938
0,0,0,0,72.07948303222656
0,0,0,0,71.95972442626953
0,0,0,0,71.80029296875
0,0,0,0,71.63516235351562
0,0,0,0,71.49402618408203
0,0,0,0,71.36131286621094
0,0,0,0,71.24175262451172
0,0,0,0,71.11845397949219
0,0,0,0,70.99268341064453
0,0,0,0,70.85157012939453
0,0,0,0,70.67865753173828
0,0,0,0,70.5295639038086
0,0,0,0,70.38821411132812
0,0,0,0,70.25218963623047
0,0,0,0,70.12224578857422
0,0,0,0,69.97883605957031
0,0,0,0,69.8426742553711
0,0,0,0,69.69425964355469
0,0,0,0,69.55059051513672
0,0,0,0,69.40887451171875
0,0,0,0,69.27771759033203
0,0,0,0,69.15727233886719
0,0,0,0,69.01918029785156
0,0,0,0,68.866455078125
0,0,0,0,68.72406005859375
0,0,0,0,68.5528335571289
0,0,0,0,68.4102783203125
0,0,0,0,68.2621841430664
0,0,0,0,68.14131927490234
0,0,0,0,68.00960540771484
0,0,0,0,67.87980651855469
0,0,0,0,67.73030853271484
0,0,0,0,67.58060455322266
0,0,0,0,67.39971923828125
0,0,0,0,67.25086975097656
0,0,0,0,67.11088562011719
0,0,0,0,66.98518371582031
0,0,0,0,66.85730743408203
0,0,0,0,66.6941909790039
0,0,0,0,66.53314971923828
0,0,0,0,66.39837646484375
0,0,0,0,66.27501678466797
0,0,0,0,66.15773010253906
0,0,0,0,66.00123596191406
0,0,0,0,65.86931610107422
0,0,0,0,65.72168731689453
0,0,0,0,65.5255355834961
0,0,0,0,65.3793716430664
0,0,0,0,65.2619400024414
0,0,0,0,65.1428451538086
0,0,0,0,65.00466918945312
0,0,0,0,64.87043762207031
0,0,0,0,64.70909118652344
