isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.807653427124023
0,0,0,0,12.683815002441406
0,0,0,0,12.557851791381836
0,0,0,0,12.41690731048584
0,0,0,0,12.265189170837402
0,0,0,0,12.126639366149902
0,0,0,0,11.963190078735352
0,0,0,0,11.832002639770508
0,0,0,0,11.718581199645996
0,0,0,0,11.607572555541992
0,0,0,0,11.470562934875488
0,0,0,0,11.35817813873291
0,0,0,0,11.222896575927734
0,0,0,0,11.09230899810791
0,0,0,0,10.95921802520752
0,0,0,0,10.825708389282227
0,0,0,0,10.685952186584473
0,0,0,0,10.534372329711914
0,0,0,0,10.405593872070312
0,0,0,0,10.295369148254395
0,0,0,0,10.176246643066406
0,0,0,0,10.043171882629395
0,0,0,0,9.910971641540527
0,0,0,0,9.77674674987793
0,0,0,0,9.607687950134277
0,0,0,0,9.46395492553711
0,0,0,0,9.328692436218262
0,0,0,0,9.207189559936523
0,0,0,0,9.089513778686523
0,0,0,0,8.96407413482666
0,0,0,0,8.82761001586914
0,0,0,0,8.699735641479492
0,0,0,0,8.576857566833496
0,0,0,0,8.459136009216309
0,0,0,0,8.325843811035156
0,0,0,0,8.197798728942871
0,0,0,0,8.067863464355469
0,0,0,0,7.932174205780029
0,0,0,0,7.804871082305908
0,0,0,0,7.684558868408203
0,0,0,0,7.555184841156006
0,0,0,0,7.443730354309082
0,0,0,0,7.320383548736572
0,0,0,0,7.191890239715576
0,0,0,0,7.051587104797363
0,0,0,0,6.916439533233643
0,0,0,0,6.784725189208984
0,0,0,0,6.659838676452637
0,0,0,0,6.546753406524658
0,0,0,0,6.424993515014648
0,0,0,0,6.30487585067749
0,0,0,0,6.1739606857299805
0,0,0,0,6.042501449584961
0,0,0,0,5.911046504974365
0,0,0,0,5.7327704429626465
0,0,0,0,5.563581943511963
0,0,0,0,5.4187750816345215
0,0,0,0,5.246655464172363
0,0,0,0,5.112423419952393
0,0,0,0,4.968929290771484
0,0,0,0,4.8619704246521
0,0,0,0,4.72263240814209
0,0,0,0,4.6130571365356445
0,0,0,0,4.495153903961182
0,0,0,0,4.37332010269165
0,0,0,0,4.25065803527832
0,0,0,0,4.106566905975342
0,0,0,0,3.9737770557403564
0,0,0,0,3.829693078994751
0,0,0,0,3.7205100059509277
0,0,0,0,3.5465879440307617
0,0,0,0,107.87886047363281
0,0,0,0,107.88594055175781
0,0,0,0,107.74784851074219
0,0,0,0,107.56471252441406
0,0,0,0,107.40714263916016
0,0,0,0,107.2503662109375
0,0,0,0,107.09056091308594
0,0,0,0,106.93324279785156
0,0,0,0,106.7725830078125
0,0,0,0,106.62125396728516
0,0,0,0,106.47286987304688
0,0,0,0,106.31757354736328
0,0,0,0,106.1685791015625
0,0,0,0,105.97364807128906
0,0,0,0,105.8423080444336
0,0,0,0,105.70171356201172
0,0,0,0,105.53462982177734
0,0,0,0,105.36760711669922
0,0,0,0,105.20643615722656
0,0,0,0,105.06970977783203
0,0,0,0,104.92959594726562
0,0,0,0,104.79483032226562
0,0,0,0,104.65422821044922
0,0,0,0,104.49469757080078
0,0,0,0,104.33390045166016
0,0,0,0,104.17424011230469
0,0,0,0,104.02469635009766
0,0,0,0,103.87327575683594
0,0,0,0,103.71879577636719
0,0,0,0,103.5694808959961
0,0,0,0,103.41123962402344
0,0,0,0,103.2425765991211
0,0,0,0,103.09364318847656
0,0,0,0,102.91997528076172
0,0,0,0,102.7685317993164
0,0,0,0,102.62667846679688
0,0,0,0,102.50362396240234
0,0,0,0,102.35018920898438
0,0,0,0,102.20047760009766
0,0,0,0,102.03925323486328
0,0,0,0,101.88031768798828
0,0,0,0,101.7250747680664
0,0,0,0,101.57276153564453
0,0,0,0,101.41266632080078
0,0,0,0,101.2579345703125
0,0,0,0,101.11182403564453
0,0,0,0,100.95699310302734
0,0,0,0,100.80106353759766
0,0,0,0,100.65281677246094
0,0,0,0,100.50514221191406
0,0,0,0,100.36067962646484
0,0,0,0,100.2040786743164
