isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.690070152282715
0,0,0,0,12.545503616333008
0,0,0,0,12.417303085327148
0,0,0,0,12.297282218933105
0,0,0,0,12.173822402954102
0,0,0,0,12.04825496673584
0,0,0,0,11.923434257507324
0,0,0,0,11.781991004943848
0,0,0,0,11.63160514831543
0,0,0,0,11.50529956817627
0,0,0,0,11.396766662597656
0,0,0,0,11.279662132263184
0,0,0,0,11.149459838867188
0,0,0,0,10.940994262695312
0,0,0,0,10.811786651611328
0,0,0,0,10.693512916564941
0,0,0,0,10.573186874389648
0,0,0,0,10.458403587341309
0,0,0,0,10.327861785888672
0,0,0,0,10.203739166259766
0,0,0,0,10.076224327087402
0,0,0,0,9.94367790222168
0,0,0,0,9.808938026428223
0,0,0,0,9.671476364135742
0,0,0,0,9.54134464263916
0,0,0,0,9.41341781616211
0,0,0,0,9.29975414276123
0,0,0,0,9.171220779418945
0,0,0,0,9.028663635253906
0,0,0,0,8.897896766662598
0,0,0,0,8.762214660644531
0,0,0,0,8.640087127685547
0,0,0,0,8.519246101379395
0,0,0,0,8.40134048461914
0,0,0,0,8.280607223510742
0,0,0,0,8.139605522155762
0,0,0,0,8.002426147460938
0,0,0,0,7.873118877410889
0,0,0,0,7.723658084869385
0,0,0,0,7.591409683227539
0,0,0,0,7.484593868255615
0,0,0,0,7.355762958526611
0,0,0,0,7.251001358032227
0,0,0,0,7.125579357147217
0,0,0,0,6.993828773498535
0,0,0,0,6.852062225341797
0,0,0,0,6.723231792449951
0,0,0,0,6.579909324645996
0,0,0,0,6.436697483062744
0,0,0,0,6.321279525756836
0,0,0,0,6.208341598510742
0,0,0,0,6.081814765930176
0,0,0,0,5.974367618560791
0,0,0,0,5.843294143676758
0,0,0,0,5.712163925170898
0,0,0,0,5.56946325302124
0,0,0,0,5.434781074523926
0,0,0,0,5.3089399337768555
0,0,0,0,5.1861042976379395
0,0,0,0,5.065357685089111
0,0,0,0,4.953712463378906
0,0,0,0,4.830366134643555
0,0,0,0,4.701535701751709
0,0,0,0,4.5587687492370605
0,0,0,0,4.413493633270264
0,0,0,0,4.2783637046813965
0,0,0,0,4.15900182723999
0,0,0,0,4.0381903648376465
0,0,0,0,3.921172857284546
0,0,0,0,3.7924022674560547
0,0,0,0,3.6760637760162354
0,0,0,0,107.8719253540039
0,0,0,0,107.85953521728516
0,0,0,0,107.66767883300781
0,0,0,0,107.52494812011719
0,0,0,0,107.36951446533203
0,0,0,0,107.20708465576172
0,0,0,0,107.00292205810547
0,0,0,0,106.8407211303711
0,0,0,0,106.69725799560547
0,0,0,0,106.57561492919922
0,0,0,0,106.44464874267578
0,0,0,0,106.29935455322266
0,0,0,0,106.130859375
0,0,0,0,105.98138427734375
0,0,0,0,105.81348419189453
0,0,0,0,105.65619659423828
0,0,0,0,105.48629760742188
0,0,0,0,105.34716796875
0,0,0,0,105.22618103027344
0,0,0,0,105.07186126708984
0,0,0,0,104.93401336669922
0,0,0,0,104.78608703613281
0,0,0,0,104.62787628173828
0,0,0,0,104.46276092529297
0,0,0,0,104.30724334716797
0,0,0,0,104.15240478515625
0,0,0,0,104.00186920166016
0,0,0,0,103.84902954101562
0,0,0,0,103.68304443359375
0,0,0,0,103.52903747558594
0,0,0,0,103.39580535888672
0,0,0,0,103.27218627929688
0,0,0,0,103.11900329589844
0,0,0,0,102.96798706054688
0,0,0,0,102.79133605957031
0,0,0,0,102.64342498779297
0,0,0,0,102.48941802978516
0,0,0,0,102.33723449707031
0,0,0,0,102.18463897705078
0,0,0,0,102.03052520751953
0,0,0,0,101.88164520263672
0,0,0,0,101.72197723388672
0,0,0,0,101.57569122314453
0,0,0,0,101.41771697998047
0,0,0,0,101.2733154296875
0,0,0,0,101.1246566772461
0,0,0,0,100.97083282470703
0,0,0,0,100.823974609375
0,0,0,0,100.6656723022461
0,0,0,0,100.51730346679688
0,0,0,0,100.35564422607422
0,0,0,0,100.19634246826172
0,0,0,0,100.04495239257812
0,0,0,0,99.87129211425781
0,0,0,0,99.71961975097656
0,0,0,0,99.5643310546875
0,0,0,0,99.42639923095703
0,0,0,0,99.28583526611328
0,0,0,0,99.13224792480469
0,0,0,0,99.00214385986328
0,0,0,0,98.83858489990234
0,0,0,0,98.62189483642578
0,0,0,0,98.46107482910156
0,0,0,0,98.32132720947266
0,0,0,0,98.17211151123047
0,0,0,0,98.06390380859375
0,0,0,0,97.9097900390625
0,0,0,0,97.74906158447266
0,0,0,0,97.59253692626953
0,0,0,0,97.43156433105469
0,0,0,0,97.27159118652344
0,0,0,0,97.09746551513672
0,0,0,0,96.95446014404297
0,0,0,0,96.82620239257812
0,0,0,0,96.68838500976562
0,0,0,0,96.55156707763672
0,0,0,0,96.40288543701172
0,0,0,0,96.25167083740234
0,0,0,0,96.08499145507812
0,0,0,0,95.93359375
0,0,0,0,95.78695678710938
0,0,0,0,95.63289642333984
0,0,0,0,95.48656463623047
0,0,0,0,95.34255981445312
0,0,0,0,95.18636322021484
0,0,0,0,95.036376953125
0,0,0,0,94.89244842529297
0,0,0,0,94.720703125
0,0,0,0,94.55531311035156
0,0,0,0,94.415283203125
0,0,0,0,94.28665924072266
0,0,0,0,94.15899658203125
0,0,0,0,94.01439666748047
0,0,0,0,93.86276245117188
0,0,0,0,93.71670532226562
0,0,0,0,93.55585479736328
0,0,0,0,93.3981704711914
0,0,0,0,93.24810791015625
0,0,0,0,93.10122680664062
0,0,0,0,92.95525360107422
0,0,0,0,92.79792785644531
0,0,0,0,92.65581512451172
0,0,0,0,92.50003814697266
0,0,0,0,92.35360717773438
0,0,0,0,92.20226287841797
0,0,0,0,92.05072784423828
0,0,0,0,91.87122344970703
0,0,0,0,91.72412872314453
0,0,0,0,91.58136749267578
0,0,0,0,91.42337799072266
0,0,0,0,91.26756286621094
0,0,0,0,91.1218490600586
0,0,0,0,90.9720458984375
0,0,0,0,90.81269073486328
0,0,0,0,90.639404296875
0,0,0,0,90.50336456298828
0,0,0,0,90.29823303222656
0,0,0,0,90.1664810180664
0,0,0,0,90.0421142578125
0,0,0,0,89.9135971069336
0,0,0,0,89.7783432006836
0,0,0,0,89.62641143798828
0,0,0,0,89.45540618896484
0,0,0,0,89.29562377929688
0,0,0,0,89.14736938476562
0,0,0,0,88.97223663330078
0,0,0,0,88.83137512207031
0,0,0,0,88.69833374023438
0,0,0,0,88.57061004638672
0,0,0,0,88.42369842529297
0,0,0,0,88.2744140625
0,0,0,0,88.12625122070312
0,0,0,0,87.97602081298828
0,0,0,0,87.81095123291016
0,0,0,0,87.64762115478516
0,0,0,0,87.49740600585938
0,0,0,0,87.3565673828125
0,0,0,0,87.21265411376953
0,0,0,0,87.05467987060547
0,0,0,0,86.91018676757812
0,0,0,0,86.75904846191406
0,0,0,0,86.60731506347656
0,0,0,0,86.46390533447266
0,0,0,0,86.30862426757812
0,0,0,0,86.13311767578125
0,0,0,0,85.97406005859375
0,0,0,0,85.8481216430664
0,0,0,0,85.71556854248047
0,0,0,0,85.59382629394531
0,0,0,0,85.45352935791016
0,0,0,0,85.29777526855469
0,0,0,0,85.14645385742188
0,0,0,0,84.9859848022461
0,0,0,0,84.83960723876953
0,0,0,0,84.68819427490234
0,0,0,0,84.54060363769531
0,0,0,0,84.39385986328125
0,0,0,0,84.24104309082031
0,0,0,0,84.08866119384766
0,0,0,0,83.9420394897461
0,0,0,0,83.7998046875
0,0,0,0,83.65496826171875
0,0,0,0,83.51464080810547
0,0,0,0,83.37400817871094
0,0,0,0,83.22260284423828
0,0,0,0,83.08019256591797
0,0,0,0,82.93657684326172
0,0,0,0,82.78609466552734
0,0,0,0,82.6331787109375
0,0,0,0,82.46479034423828
0,0,0,0,82.3163833618164
0,0,0,0,82.18057250976562
0,0,0,0,82.0475845336914
0,0,0,0,81.86941528320312
0,0,0,0,81.72894287109375
1,1,0,0,81.59716033935547
1,1,0,1,81.59154510498047
1,1,0,1,81.587158203125
1,1,0,1,81.58346557617188
1,1,0,1,81.57972717285156
1,1,0,1,81.57928466796875
1,1,0,1,81.57947540283203
1,1,0,1,81.57960510253906
1,1,0,1,81.5798568725586
1,1,0,1,81.580078125
1,1,0,1,81.58035278320312
1,1,0,1,81.57828521728516
1,1,0,1,81.57554626464844
1,1,0,1,81.57249450683594
1,1,0,1,81.56828308105469
1,1,0,1,81.56515502929688
1,1,0,1,81.56197357177734
1,1,0,1,81.55857849121094
1,1,0,1,81.55561828613281
1,1,0,1,81.55278015136719
1,1,0,1,81.55066680908203
1,1,0,1,81.5487289428711
1,1,0,1,81.54692077636719
1,1,0,1,81.5441665649414
1,1,0,1,81.54181671142578
1,1,0,1,81.54041290283203
1,1,0,1,81.53776550292969
1,1,0,1,81.53572082519531
1,1,0,1,81.5331039428711
1,1,0,1,81.53092956542969
1,1,0,1,81.52946472167969
1,1,0,1,81.52857971191406
1,1,0,1,81.52632141113281
1,1,0,1,81.52503967285156
1,1,0,1,81.52340698242188
1,1,0,1,81.52182006835938
1,1,0,1,81.52023315429688
1,1,0,1,81.5182113647461
1,1,0,1,81.51769256591797
1,1,0,1,81.51610565185547
1,1,0,1,81.51443481445312
1,1,0,1,81.51393127441406
1,1,0,1,81.51214599609375
1,1,0,1,81.5111312866211
1,1,0,1,81.50970458984375
1,1,0,1,81.50836944580078
1,1,0,1,81.50653839111328
1,1,0,1,81.50409698486328
1,1,0,1,81.50312805175781
1,1,0,1,81.5017318725586
1,1,0,1,81.4999008178711
1,1,0,1,81.49799346923828
1,1,0,1,81.4966812133789
1,1,0,1,81.49568939208984
1,1,0,1,81.49363708496094
1,1,0,1,81.4920425415039
1,1,0,1,81.4897689819336
1,1,0,1,81.48857116699219
1,1,0,1,81.48780059814453
1,1,0,1,81.48555755615234
1,1,0,1,81.48481750488281
1,1,0,1,81.48361206054688
1,1,0,1,81.48188018798828
1,1,0,1,81.48052978515625
1,1,0,1,81.47998046875
1,1,0,1,81.47819519042969
