isInDistance,isRedLight,passedIntersection,stop,distanceToGoal
0,0,0,0,12.732025146484375
0,0,0,0,12.62139892578125
0,0,0,0,12.503644943237305
0,0,0,0,12.387532234191895
0,0,0,0,12.238432884216309
0,0,0,0,12.113011360168457
0,0,0,0,11.982606887817383
0,0,0,0,11.84601879119873
0,0,0,0,11.711616516113281
0,0,0,0,11.567861557006836
0,0,0,0,11.441571235656738
0,0,0,0,11.329865455627441
0,0,0,0,11.211494445800781
0,0,0,0,11.08073616027832
0,0,0,0,10.951949119567871
0,0,0,0,10.815351486206055
0,0,0,0,10.674309730529785
0,0,0,0,10.487569808959961
0,0,0,0,10.355656623840332
0,0,0,0,10.235281944274902
0,0,0,0,10.118200302124023
0,0,0,0,10.001873970031738
0,0,0,0,9.877740859985352
0,0,0,0,9.746590614318848
0,0,0,0,9.593360900878906
0,0,0,0,9.457730293273926
0,0,0,0,9.313230514526367
0,0,0,0,9.204059600830078
0,0,0,0,9.082929611206055
0,0,0,0,8.957304000854492
0,0,0,0,8.818827629089355
0,0,0,0,8.70029067993164
0,0,0,0,8.57742691040039
0,0,0,0,8.461949348449707
0,0,0,0,8.34048843383789
0,0,0,0,8.201370239257812
0,0,0,0,8.047688484191895
0,0,0,0,7.921576499938965
0,0,0,0,7.796299934387207
0,0,0,0,7.679609298706055
0,0,0,0,7.56025505065918
0,0,0,0,7.4423136711120605
0,0,0,0,7.313769817352295
0,0,0,0,7.169204235076904
0,0,0,0,7.042989253997803
0,0,0,0,6.917144298553467
0,0,0,0,6.795030117034912
0,0,0,0,6.667375564575195
0,0,0,0,6.522522449493408
0,0,0,0,6.407292366027832
0,0,0,0,6.280795574188232
0,0,0,0,6.157800674438477
0,0,0,0,6.043539524078369
0,0,0,0,5.9124040603637695
0,0,0,0,5.794406890869141
0,0,0,0,5.659722805023193
0,0,0,0,5.533914566040039
0,0,0,0,5.394980430603027
0,0,0,0,5.2573723793029785
0,0,0,0,5.1278486251831055
0,0,0,0,5.011944770812988
0,0,0,0,4.889580249786377
0,0,0,0,4.767784118652344
0,0,0,0,4.639139175415039
0,0,0,0,4.495569705963135
0,0,0,0,4.367623329162598
0,0,0,0,4.241785049438477
0,0,0,0,4.118625640869141
0,0,0,0,4.004127502441406
0,0,0,0,3.8684589862823486
0,0,0,0,3.687875747680664
0,0,0,0,3.568202018737793
0,0,0,0,107.88282012939453
0,0,0,0,107.87478637695312
0,0,0,0,107.73324584960938
0,0,0,0,107.58099365234375
0,0,0,0,107.37920379638672
0,0,0,0,107.24161529541016
0,0,0,0,107.08258056640625
0,0,0,0,106.92617797851562
0,0,0,0,106.7195053100586
0,0,0,0,106.55570220947266
0,0,0,0,106.40385437011719
0,0,0,0,106.28337097167969
0,0,0,0,106.14742279052734
0,0,0,0,106.0128173828125
0,0,0,0,105.83157348632812
0,0,0,0,105.69508361816406
0,0,0,0,105.53950500488281
0,0,0,0,105.38611602783203
0,0,0,0,105.22440338134766
0,0,0,0,105.07408905029297
0,0,0,0,104.91313171386719
0,0,0,0,104.77616882324219
0,0,0,0,104.63402557373047
0,0,0,0,104.48128509521484
0,0,0,0,104.33964538574219
0,0,0,0,104.1867904663086
0,0,0,0,104.01282501220703
0,0,0,0,103.84239196777344
0,0,0,0,103.69775390625
0,0,0,0,103.55645751953125
