offsetCenter,differenceForward,steeringAngle
0.156,0.001,-0.0
0.157,0.0008,-0.0
0.157,0.0009,-0.0
0.157,0.0007,-0.0
0.157,0.0009,-0.0
0.157,0.0007,-0.0
0.157,0.001,-0.0
0.158,0.0007,-0.0
0.158,0.001,-0.0
0.158,0.0008,-0.0
0.158,0.0006,-0.0
0.158,0.0009,-0.0
0.158,0.0007,-0.0
0.158,0.0009,-0.0
0.159,0.0007,-0.0
0.159,0.0008,-0.0
0.159,0.0006,-0.0
0.159,0.0009,-0.0
0.159,0.0005,-0.0
0.159,0.0008,-0.0
0.16,0.0006,-0.0
0.16,0.0004,-0.0
0.16,0.0006,-0.0
0.16,0.0004,-0.0
0.16,0.0006,-0.0
0.16,0.0004,-0.0
0.16,0.0006,-0.0
0.16,0.0003,-0.0
0.16,0.0006,-0.0
0.16,0.0004,-0.0
0.16,0.0006,-0.0
0.161,0.0004,-0.0
0.161,0.0007,-0.0
0.161,0.0005,-0.0
0.161,0.0006,-0.0
0.161,0.0004,-0.0
0.161,0.0007,-0.0
0.161,0.0005,-0.0
0.161,0.0007,-0.0
0.162,0.0005,-0.0
0.162,0.0007,-0.0
0.162,0.0005,-0.0
0.162,0.0007,-0.0
0.162,0.0004,-0.0
0.162,0.0006,-0.0
0.162,0.0004,-0.0
0.162,0.0008,-0.0
0.162,0.0007,-0.0
0.162,0.0008,-0.0
0.163,0.0008,-0.0
0.163,0.0008,-0.0
0.163,0.0009,-0.0
0.163,0.0009,-0.0
0.163,0.0009,-0.0
0.163,0.0009,-0.0
0.164,0.0009,-0.0
0.164,0.0009,-0.0
0.164,0.0009,-0.0
0.164,0.0009,-0.0
0.164,0.0009,-0.0
0.164,0.0009,-0.0
0.165,0.0009,-0.0
0.165,0.0009,-0.0
0.165,0.0009,-0.0
0.165,0.0009,-0.0
0.165,0.0009,-0.0
0.165,0.0009,-0.0
0.166,0.0009,-0.0
0.166,0.0009,-0.0
0.166,0.0009,-0.0
0.166,0.0009,-0.0
0.166,0.0009,-0.0
0.167,0.0009,-0.0
0.167,0.0009,-0.0
0.167,0.0009,-0.0
0.167,0.0009,-0.0
0.167,0.0009,-0.0
0.167,0.0009,-0.0
0.168,0.0009,-0.0
0.168,0.0009,-0.0
0.168,0.0009,-0.0
0.168,0.0009,-0.0
0.168,0.0009,-0.0
0.169,0.0009,-0.0
0.169,0.0009,-0.0
0.169,0.0009,-0.0
0.169,0.0009,-0.0
0.169,0.0009,-0.0
0.169,0.0009,-0.0
0.17,0.0009,-0.0
0.17,0.0009,-0.0
0.17,0.0009,-0.0
0.17,0.0009,-0.0
0.17,0.0009,-0.0
0.171,0.0009,-0.0
0.171,0.0009,-0.0
0.171,0.0009,-0.0
0.171,0.0009,-0.0
0.171,0.0009,-0.0
0.171,0.0009,-0.0
0.172,0.0009,-0.0
0.172,0.0009,-0.0
0.172,0.0009,-0.0
0.172,0.0009,-0.0
0.173,0.0009,-0.0
0.173,0.0009,-0.0
0.173,0.0009,-0.0
0.173,0.0009,-0.0
0.173,0.0009,-0.0
0.173,0.0009,-0.0
0.174,0.0009,-0.0
0.174,0.0009,-0.0
0.174,0.0009,-0.0
0.174,0.0009,-0.0
0.174,0.0009,-0.0
0.175,0.0009,-0.0
0.175,0.0009,-0.0
0.175,0.0009,-0.0
0.175,0.0009,-0.0
0.175,0.0009,-0.0
0.175,0.0009,-0.0
0.176,0.0009,-0.0
0.176,0.0005,-0.0
0.176,0.0001,-0.0
0.176,0.0007,-0.0
0.176,0.0015,-0.0
0.175,0.002,-0.0
0.175,0.0027,-0.0
0.174,0.0034,-0.0
0.173,0.004,-0.0
0.173,0.0047,-0.0
0.172,0.0054,-0.0
0.17,0.006,-0.0
0.169,0.0067,-0.0
0.168,0.0073,-0.0
0.167,0.008,-0.0
0.165,0.0086,-0.0
0.163,0.0094,-0.0
0.161,0.0101,-0.0
0.159,0.0107,-0.0
0.157,0.0112,-0.0
0.155,0.0118,-0.0
0.153,0.0125,-0.0
0.15,0.0132,-0.0
0.148,0.0138,-0.0
0.145,0.0146,-0.0
0.142,0.0152,-0.0
0.139,0.0154,-0.0
0.136,0.0154,-0.0
0.133,0.0154,-0.0
0.13,0.0154,-0.0
0.127,0.0154,-0.0
0.125,0.0154,-0.0
0.121,0.0154,-0.0
0.118,0.0154,-0.0
0.115,0.0154,-0.0
0.112,0.0154,-0.0
0.109,0.0154,-0.0
0.106,0.0154,-0.0
0.103,0.0154,-0.0
0.1,0.0154,-0.0
0.097,0.0154,-0.0
0.094,0.0154,-0.0
0.091,0.0154,-0.0
0.088,0.0154,-0.0
0.085,0.0154,-0.0
0.082,0.0154,-0.0
0.079,0.0154,-0.0
0.076,0.0151,-0.0
0.073,0.0147,-0.0
0.07,0.0143,-0.0
0.067,0.0139,-0.0
0.065,0.0136,-0.0
0.062,0.0132,-0.0
0.06,0.0128,-0.0
0.057,0.0124,-0.0
0.055,0.012,-0.0
0.053,0.0116,-0.0
0.05,0.0112,-0.0
0.048,0.0108,-0.0
0.046,0.0105,-0.0
0.044,0.01,-0.0
0.042,0.0099,-0.0
0.04,0.0099,-0.0
0.038,0.0099,-0.0
0.037,0.0099,-0.0
0.035,0.0099,-0.0
0.033,0.0099,-0.0
0.031,0.0099,-0.0
0.029,0.0099,-0.0
0.027,0.0099,-0.0
0.025,0.0099,-0.0
0.023,0.0099,-0.0
0.021,0.0099,-0.0
0.019,0.0099,-0.0
0.017,0.0099,-0.0
0.015,0.0099,-0.0
0.013,0.0099,-0.0
0.012,0.0099,-0.0
0.01,0.0099,-0.0
0.006,0.0099,-0.0
0.004,0.0099,-0.0
0.002,0.0099,-0.0
-0.0,0.0099,-0.0
-0.002,0.0099,-0.0
-0.004,0.0099,-0.0
-0.006,0.0099,-0.0
-0.007,0.0099,-0.0
-0.009,0.0099,-0.0
-0.011,0.0099,-0.0
-0.013,0.0099,-0.0
-0.015,0.0099,-0.0
-0.017,0.0099,-0.0
-0.019,0.0098,-0.0
-0.021,0.0098,-0.0
-0.023,0.0098,-0.0
-0.025,0.0098,-0.0
-0.027,0.0098,-0.0
-0.028,0.0098,-0.0
-0.03,0.0098,-0.0
-0.032,0.0098,-0.0
-0.034,0.0098,-0.0
-0.036,0.0098,-0.0
-0.038,0.0098,-0.0
-0.04,0.0098,-0.0
-0.042,0.0098,-0.0
-0.044,0.0098,-0.0
-0.046,0.0098,-0.0
-0.047,0.0098,-0.0
-0.049,0.0098,-0.0
-0.051,0.0098,-0.0
-0.053,0.0098,-0.0
-0.055,0.0098,-0.0
-0.057,0.0098,-0.0
-0.059,0.0098,-0.0
-0.06,0.0098,-0.0
-0.062,0.0098,-0.0
-0.064,0.0098,-0.0
-0.066,0.0098,-0.0
-0.068,0.0098,-0.0
-0.07,0.0098,-0.0
-0.072,0.0098,-0.0
-0.074,0.0098,-0.0
-0.076,0.0098,-0.0
-0.077,0.0098,-0.0
-0.079,0.0098,-0.0
-0.081,0.0098,-0.0
-0.083,0.0098,-0.0
-0.085,0.0098,-0.0
-0.087,0.0098,-0.0
-0.089,0.0098,-0.0
-0.091,0.0098,-0.0
-0.092,0.0098,-0.0
-0.094,0.0098,-0.0
-0.096,0.0098,-0.0
-0.098,0.0098,-0.0
-0.1,0.0098,-0.0
-0.102,0.0098,-0.0
-0.104,0.0098,-0.0
-0.105,0.0098,-0.0
-0.107,0.0098,-0.0
-0.109,0.0098,-0.0
-0.111,0.0098,-0.0
-0.113,0.0098,-0.0
-0.114,0.0093,0.1
-0.116,0.0085,0.0
-0.118,0.008,0.0
-0.12,0.0077,0.0
-0.121,0.0075,0.0
-0.123,0.0074,0.0
-0.124,0.0074,0.0
-0.126,0.0073,0.0
-0.127,0.0073,0.0
-0.128,0.0073,0.0
-0.129,0.0073,0.0
-0.13,0.0067,0.1
-0.132,0.006,0.0
-0.133,0.0055,0.0
-0.134,0.0052,0.0
-0.135,0.005,0.0
-0.136,0.0049,0.0
-0.137,0.0049,0.0
-0.138,0.0048,0.0
-0.139,0.0048,0.0
-0.14,0.0048,0.0
-0.141,0.0048,0.0
-0.142,0.0048,0.0
-0.142,0.0041,0.1
-0.143,0.0032,0.0
-0.143,0.0026,0.0
-0.144,0.0022,0.0
-0.145,0.002,0.0
-0.145,0.0019,0.0
-0.145,0.0018,0.0
-0.146,0.0017,0.0
-0.146,0.0017,0.0
-0.146,0.0017,0.0
-0.147,0.0017,0.0
-0.147,0.0017,0.0
-0.148,0.0023,-0.1
-0.149,0.0037,-0.0
-0.149,0.0041,-0.0
-0.15,0.0043,-0.0
-0.151,0.0044,-0.0
-0.152,0.0045,-0.0
-0.152,0.0046,-0.0
-0.153,0.0046,-0.0
