offsetCenter,differenceForward,steeringAngle
0.134,0.0021,-0.0
0.133,0.0023,-0.0
0.133,0.0021,-0.0
0.132,0.0024,-0.0
0.132,0.0021,-0.0
0.131,0.0024,-0.0
0.131,0.0021,-0.0
0.13,0.0023,-0.0
0.13,0.002,-0.0
0.129,0.0024,-0.0
0.129,0.0021,-0.0
0.129,0.0023,-0.0
0.128,0.002,-0.0
0.128,0.0024,-0.0
0.127,0.0021,-0.0
0.127,0.0024,-0.0
0.126,0.0021,-0.0
0.126,0.0024,-0.0
0.125,0.002,-0.0
0.125,0.0023,-0.0
0.124,0.0021,-0.0
0.124,0.0023,-0.0
0.123,0.002,-0.0
0.123,0.0024,-0.0
0.122,0.0021,-0.0
0.122,0.0023,-0.0
0.121,0.002,-0.0
0.121,0.0024,-0.0
0.121,0.0021,-0.0
0.12,0.0023,-0.0
0.12,0.0023,-0.0
0.119,0.0022,-0.0
0.119,0.0024,-0.0
0.118,0.0021,-0.0
0.118,0.0024,-0.0
0.117,0.0021,-0.0
0.117,0.0024,-0.0
0.116,0.0019,-0.0
0.116,0.0022,-0.0
0.115,0.0019,-0.0
0.115,0.0023,-0.0
0.114,0.002,-0.0
0.114,0.0023,-0.0
0.114,0.0021,-0.0
0.113,0.0024,-0.0
0.113,0.0021,-0.0
0.112,0.0024,-0.0
0.112,0.002,-0.0
0.111,0.0024,-0.0
0.111,0.0021,-0.0
0.11,0.0024,-0.0
0.11,0.0021,-0.0
0.109,0.0024,-0.0
0.109,0.002,-0.0
0.108,0.0022,-0.0
0.108,0.0018,-0.0
0.107,0.002,-0.0
0.107,0.0017,-0.0
0.107,0.0019,-0.0
0.106,0.0015,-0.0
0.106,0.0017,-0.0
0.105,0.0015,-0.0
0.105,0.0019,-0.0
0.105,0.0016,-0.0
0.104,0.0019,-0.0
0.104,0.0014,-0.0
0.104,0.0017,-0.0
0.103,0.0014,-0.0
0.103,0.0017,-0.0
0.102,0.0014,-0.0
0.102,0.0016,-0.0
0.102,0.0012,-0.0
0.102,0.0015,-0.0
0.101,0.0012,-0.0
0.101,0.0016,-0.0
0.101,0.0014,-0.0
0.1,0.0016,-0.0
0.1,0.0014,-0.0
0.1,0.0017,-0.0
0.099,0.0013,-0.0
0.099,0.0016,-0.0
0.099,0.0012,-0.0
