offsetCenter,differenceForward,steeringAngle
-0.384,0.0003,0.1
-0.372,0.0021,0.1
0.365,0.0039,0.1
0.387,0.0047,0.0
0.413,0.0032,0.1
0.437,0.0032,0.1
0.461,0.004,0.2
0.416,0.0013,0.1
0.4,0.0003,0.1
0.384,0.0026,0.1
0.368,0.0042,0.1
0.384,0.0066,0.1
0.416,0.0088,0.1
0.446,0.0121,0.2
0.432,0.0072,0.1
0.421,0.0094,0.1
0.411,0.0114,0.1
0.4,0.0134,0.1
0.39,0.0153,0.1
0.379,0.0173,0.1
0.394,0.0173,0.0
0.421,0.0155,0.0
0.458,0.0052,0.1
0.448,0.0041,0.1
0.438,0.0037,0.1
0.427,0.0044,0.1
0.416,0.005,0.1
0.406,0.0065,0.1
0.394,0.0077,0.1
0.409,0.0077,0.0
0.468,0.0011,0.1
0.458,0.002,0.1
0.446,0.0014,0.1
0.435,0.0008,0.1
0.425,0.0006,0.1
0.414,0.0017,0.1
0.405,0.0033,0.1
0.397,0.0051,0.2
0.475,0.0002,0.1
0.466,0.002,0.1
0.456,0.0043,0.1
0.448,0.0058,0.1
0.44,0.0078,0.1
0.432,0.0093,0.1
0.425,0.0113,0.1
0.416,0.0112,0.0
0.485,0.0029,0.1
0.478,0.002,0.1
0.471,0.0025,0.1
0.464,0.003,0.1
0.457,0.0043,0.1
0.451,0.0054,0.1
0.444,0.0071,0.1
0.436,0.0068,0.0
0.493,0.0016,0.1
0.487,0.0024,0.1
0.48,0.0019,0.1
0.474,0.0014,0.1
0.467,0.0,0.1
0.461,0.0011,0.1
0.455,0.0028,0.1
0.449,0.0041,0.1
0.444,0.006,0.1
0.489,0.0,0.1
0.484,0.0026,0.2
0.479,0.0049,0.1
0.474,0.0075,0.1
0.471,0.0092,0.1
0.468,0.0112,0.1
0.466,0.0128,0.1
0.462,0.0134,0.0
0.496,0.0038,0.0
0.491,0.0008,0.0
0.487,0.0028,0.1
0.484,0.0044,0.1
0.481,0.0051,0.1
0.476,0.0044,0.1
0.472,0.0038,0.1
0.467,0.0037,0.0
0.486,0.0135,0.0
0.479,0.0166,0.0
0.473,0.0209,0.0
0.467,0.0245,0.1
0.461,0.0268,0.2
0.454,0.0271,0.1
0.447,0.027,0.1
0.438,0.0272,0.0
0.44,0.0377,0.0
0.429,0.0412,0.0
0.418,0.0457,0.0
0.409,0.0491,0.1
0.398,0.0533,0.0
0.387,0.0567,0.1
0.375,0.0593,0.1
0.363,0.0597,0.1
0.347,0.0684,0.0
0.331,0.071,0.0
0.315,0.0722,0.0
0.301,0.0706,0.0
0.286,0.0697,0.0
0.256,0.0681,0.0
0.243,0.0664,0.1
0.231,0.0633,0.1
0.218,0.0596,0.0
0.205,0.0574,0.0
0.193,0.0555,0.0
0.181,0.0546,0.0
0.169,0.0533,0.0
0.158,0.0528,0.0
0.148,0.051,0.1
0.137,0.0495,0.0
0.128,0.0474,0.1
0.12,0.0439,0.1
0.11,0.0396,0.0
0.101,0.0375,0.0
0.092,0.0355,0.0
0.085,0.0345,0.0
0.078,0.0333,0.0
0.071,0.0327,0.0
-0.071,0.0308,0.1
-0.074,0.0292,0.0
-0.077,0.0275,0.0
-0.08,0.0268,0.0
-0.083,0.0255,0.0
-0.086,0.0251,0.0
-0.089,0.024,0.0
-0.092,0.0229,0.1
-0.095,0.0195,0.1
-0.096,0.0167,0.0
-0.096,0.0143,0.0
-0.096,0.0135,0.0
-0.095,0.0129,0.0
-0.093,0.0131,0.0
-0.09,0.0131,0.0
-0.088,0.0136,0.0
-0.086,0.0136,0.0
-0.084,0.0143,0.0
-0.081,0.0143,0.0
-0.079,0.015,0.0
-0.077,0.0151,0.0
-0.075,0.0158,0.0
-0.073,0.016,0.0
-0.07,0.0167,0.0
-0.068,0.0161,0.1
-0.066,0.0158,0.0
-0.064,0.0154,0.0
-0.062,0.0157,0.0
-0.06,0.0148,0.1
-0.057,0.0144,0.0
-0.055,0.0139,0.0
-0.053,0.0141,0.0
-0.054,0.014,0.0
-0.057,0.0146,0.0
-0.06,0.0146,0.0
-0.062,0.0145,0.1
-0.066,0.0134,0.0
-0.069,0.0132,0.0
-0.072,0.0126,0.0
-0.074,0.0126,0.0
-0.077,0.0123,0.0
-0.079,0.0124,0.0
-0.082,0.0121,0.0
-0.084,0.0123,0.0
-0.087,0.0121,0.0
-0.089,0.0124,0.0
-0.092,0.0121,0.0
-0.094,0.0123,0.0
-0.096,0.0114,0.1
-0.098,0.0106,0.0
-0.1,0.0099,0.0
-0.103,0.0098,0.0
-0.105,0.0093,0.0
-0.107,0.0096,0.0
-0.109,0.0093,0.0
-0.111,0.0095,0.0
-0.113,0.0092,0.0
-0.113,0.0087,0.1
-0.116,0.0073,0.0
-0.117,0.0069,0.0
-0.119,0.0062,0.0
-0.12,0.0062,0.0
-0.122,0.0058,0.0
-0.123,0.006,0.0
-0.124,0.0058,0.0
-0.125,0.006,0.0
-0.127,0.0057,0.0
-0.128,0.006,0.0
-0.128,0.0051,0.1
-0.129,0.0044,0.0
-0.131,0.0034,0.0
-0.132,0.0034,0.0
-0.133,0.0029,0.0
-0.133,0.003,0.0
-0.134,0.0026,0.0
-0.134,0.0028,0.0
-0.135,0.0025,0.0
-0.135,0.0028,0.0
-0.136,0.0025,0.0
-0.137,0.0028,0.0
-0.137,0.0025,0.0
-0.138,0.0025,0.0
-0.139,0.0027,0.0
-0.14,0.0023,0.0
-0.14,0.0026,0.0
-0.141,0.0023,0.0
-0.141,0.0027,0.0
-0.142,0.0022,0.0
-0.142,0.0024,0.0
-0.143,0.0022,0.0
-0.143,0.0025,0.0
-0.144,0.0023,0.0
-0.144,0.0027,0.0
-0.145,0.0023,0.0
-0.145,0.0027,0.0
-0.146,0.0024,0.0
-0.146,0.0028,0.0
-0.147,0.0025,0.0
-0.147,0.0027,0.0
-0.148,0.0024,0.0
-0.148,0.0027,0.0
-0.149,0.0023,0.0
-0.15,0.0027,0.0
-0.15,0.0023,0.0
