offsetCenter,differenceForward,steeringAngle
-0.414,0.0039,-0.1
-0.411,0.0023,-0.1
-0.407,0.0018,-0.1
-0.403,0.0017,-0.1
-0.399,0.0021,-0.1
-0.395,0.0025,-0.1
-0.391,0.0033,-0.1
-0.387,0.0039,-0.1
-0.383,0.0047,-0.1
-0.379,0.0055,-0.1
-0.411,0.0075,-0.0
-0.406,0.0052,-0.0
-0.402,0.0026,-0.1
-0.399,0.0005,-0.1
-0.395,0.0004,-0.1
-0.391,0.0008,-0.1
-0.386,0.0006,-0.1
-0.381,0.0003,-0.1
-0.376,0.0003,-0.1
-0.371,0.001,-0.1
-0.366,0.0018,-0.1
-0.401,0.0046,-0.1
-0.396,0.0045,-0.0
-0.391,0.0028,-0.1
-0.386,0.0017,-0.1
-0.382,0.0011,-0.1
-0.376,0.0013,-0.1
-0.371,0.0015,-0.1
-0.367,0.0018,-0.1
-0.361,0.0027,-0.1
-0.356,0.0032,-0.1
-0.351,0.0041,-0.1
-0.384,0.0056,-0.0
-0.383,0.0036,-0.0
-0.378,0.0006,-0.1
-0.373,0.0014,-0.1
-0.367,0.0027,-0.1
-0.361,0.0028,-0.1
-0.355,0.0029,-0.1
-0.348,0.0023,-0.1
0.35,0.0019,-0.1
0.357,0.0011,-0.1
0.365,0.0004,-0.1
-0.371,0.0027,-0.1
-0.364,0.0023,-0.0
-0.357,0.0008,-0.1
-0.352,0.0007,-0.1
-0.346,0.001,-0.1
0.35,0.0011,-0.1
0.357,0.0006,-0.1
0.364,0.0002,-0.1
0.371,0.0006,-0.1
0.378,0.0013,-0.1
0.385,0.001,-0.0
-0.349,0.0006,-0.0
-0.343,0.0022,-0.1
0.349,0.0044,-0.2
0.356,0.005,-0.1
0.362,0.0054,-0.1
0.37,0.0048,-0.1
0.375,0.0045,-0.1
0.382,0.0037,-0.1
0.388,0.0031,-0.1
0.395,0.0021,-0.1
0.361,0.0012,-0.0
0.351,0.0028,-0.0
-0.358,0.0062,-0.1
-0.364,0.0079,-0.1
-0.371,0.0091,-0.1
-0.376,0.0091,-0.1
-0.383,0.0092,-0.1
-0.387,0.0086,-0.1
-0.393,0.0081,-0.1
-0.397,0.0074,-0.1
-0.402,0.008,-0.0
-0.354,0.0082,-0.0
-0.359,0.0119,-0.1
-0.364,0.0136,-0.1
-0.369,0.0147,-0.1
-0.373,0.0148,-0.1
-0.378,0.0149,-0.1
-0.381,0.0131,-0.1
-0.384,0.0113,-0.1
-0.385,0.0102,-0.0
-0.388,0.0118,-0.0
-0.345,0.0126,-0.0
-0.347,0.0159,-0.0
-0.349,0.0186,-0.1
-0.352,0.0203,-0.1
-0.353,0.0203,-0.1
-0.355,0.0197,-0.1
-0.357,0.018,-0.1
-0.36,0.0163,-0.1
-0.361,0.0143,-0.1
-0.364,0.0123,-0.1
-0.36,0.0111,-0.0
-0.33,0.0114,-0.0
-0.333,0.0128,-0.1
-0.336,0.0137,-0.1
-0.338,0.013,-0.1
-0.343,0.0104,-0.1
-0.346,0.0089,-0.1
-0.348,0.0067,-0.1
-0.352,0.0048,-0.1
-0.354,0.0037,-0.0
-0.322,0.0045,-0.0
-0.325,0.0061,-0.1
-0.329,0.007,-0.1
-0.332,0.007,-0.1
-0.335,0.0058,-0.1
-0.338,0.0045,-0.1
-0.343,0.002,-0.1
-0.346,0.0004,-0.1
-0.348,0.0007,-0.0
-0.352,0.0012,-0.0
-0.322,0.0021,-0.0
-0.326,0.0048,-0.1
-0.329,0.0058,-0.1
-0.333,0.0059,-0.1
-0.336,0.0048,-0.1
-0.339,0.0036,-0.1
-0.342,0.0018,-0.1
-0.346,0.0001,-0.1
-0.349,0.0022,-0.1
-0.352,0.0027,-0.0
-0.34,0.0024,-0.0
-0.328,0.0004,-0.0
-0.332,0.002,-0.1
-0.336,0.0032,-0.1
-0.34,0.0028,-0.1
-0.344,0.0019,-0.1
-0.347,0.0,-0.1
-0.35,0.0015,-0.1
-0.352,0.0024,-0.0
-0.355,0.0011,-0.0
-0.357,0.0011,-0.0
-0.332,0.0032,-0.0
-0.335,0.0059,-0.1
-0.339,0.0077,-0.1
-0.341,0.0074,-0.1
-0.344,0.0067,-0.1
-0.346,0.0051,-0.1
-0.348,0.0036,-0.1
-0.35,0.0014,-0.1
-0.352,0.001,-0.0
-0.353,0.0021,-0.0
-0.33,0.0037,-0.0
-0.332,0.0058,-0.1
-0.335,0.0073,-0.1
-0.337,0.0071,-0.1
-0.341,0.0055,-0.1
-0.344,0.0041,-0.1
-0.345,0.0022,-0.1
-0.347,0.0007,-0.1
-0.349,0.0012,-0.1
-0.351,0.0022,-0.0
-0.329,0.0022,-0.0
-0.331,0.0002,-0.0
-0.334,0.0031,-0.1
-0.338,0.0039,-0.1
-0.34,0.0039,-0.1
-0.342,0.0029,-0.1
