offsetCenter,differenceForward,steeringAngle
0.149,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.149,0.0001,-0.0
0.148,0.0003,-0.0
0.149,0.0,-0.0
0.148,0.0002,-0.0
0.149,0.0,-0.0
0.148,0.0003,-0.0
0.149,0.0,-0.0
0.148,0.0003,-0.0
0.149,0.0001,-0.0
0.149,0.0004,-0.0
0.149,0.0001,-0.0
0.149,0.0004,-0.0
0.149,0.0001,-0.0
0.149,0.0004,-0.0
0.149,0.0001,-0.0
0.149,0.0004,-0.0
0.149,0.0001,-0.0
0.149,0.0004,-0.0
0.149,0.0,-0.0
0.149,0.0003,-0.0
0.149,0.0,-0.0
0.149,0.0003,-0.0
0.149,0.0001,-0.0
0.149,0.0002,-0.0
0.149,0.0,-0.0
0.149,0.0002,-0.0
0.149,0.0,-0.0
0.149,0.0003,-0.0
0.149,0.0,-0.0
0.149,0.0003,-0.0
0.149,0.0,-0.0
0.149,0.0003,-0.0
0.15,0.0,-0.0
0.149,0.0003,-0.0
0.15,0.0001,-0.0
0.15,0.0001,-0.0
0.15,0.0001,-0.0
0.15,0.0003,-0.0
0.15,0.0002,-0.0
0.15,0.0002,-0.0
0.15,0.0001,-0.0
0.15,0.0002,-0.0
0.15,0.0002,-0.0
0.15,0.0003,-0.0
0.149,0.0001,-0.0
0.15,0.0004,-0.0
0.149,0.0002,-0.0
0.149,0.0005,-0.0
0.149,0.0002,-0.0
0.149,0.0005,-0.0
0.149,0.0003,-0.0
0.149,0.0005,-0.0
0.149,0.0002,-0.0
0.149,0.0006,-0.0
0.149,0.0003,-0.0
0.149,0.0006,-0.0
0.149,0.0002,-0.0
0.149,0.0004,-0.0
0.148,0.0001,-0.0
0.148,0.0003,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0003,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0002,-0.0
0.148,0.0,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0002,-0.0
0.148,0.0001,-0.0
0.148,0.0,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.148,0.0001,-0.0
0.147,0.0003,-0.0
0.148,0.0003,-0.0
0.148,0.0004,-0.0
0.148,0.0004,-0.0
0.148,0.0004,-0.0
0.148,0.0003,-0.0
0.148,0.0003,-0.0
0.148,0.0003,-0.0
0.148,0.0003,-0.0
0.148,0.0003,-0.0
0.148,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
-0.046,1.4105,-0.0
0.147,0.0004,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.147,0.0003,-0.0
0.146,0.0003,-0.0
0.145,1.7179,-0.0
-0.095,1.7157,-0.0
0.146,0.0003,-0.0
0.125,1.4105,-0.0
-0.066,1.4105,-0.0
0.146,0.0003,-0.0
0.146,0.0003,-0.0
0.146,0.0003,-0.0
0.146,0.0003,-0.0
0.146,0.0003,-0.0
0.146,0.0003,-0.0
0.056,1.7913,-0.0
-0.094,1.7931,-0.0
0.146,0.0003,-0.0
0.145,0.0003,-0.0
0.07,1.6353,-0.0
-0.145,1.6337,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
-0.108,1.7898,-0.0
0.05,1.4179,-0.0
-0.115,1.4179,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.145,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.133,1.4179,-0.0
-0.066,1.4179,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.144,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.143,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.142,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.141,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.14,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.139,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
0.138,0.0003,-0.0
