offsetCenter,differenceForward,steeringAngle
-0.149,0.0008,0.0
-0.149,0.0008,0.0
-0.149,0.0009,0.0
-0.148,0.0009,0.0
-0.148,0.0009,0.0
-0.148,0.001,0.0
-0.148,0.001,0.0
-0.148,0.001,0.0
-0.147,0.001,0.0
-0.147,0.001,0.0
-0.147,0.001,0.0
-0.147,0.001,0.0
-0.146,0.001,0.0
-0.146,0.001,0.0
-0.146,0.001,0.0
-0.146,0.001,0.0
-0.146,0.001,0.0
-0.145,0.001,0.0
-0.145,0.001,0.0
-0.145,0.001,0.0
-0.145,0.001,0.0
-0.145,0.001,0.0
-0.144,0.001,0.0
-0.144,0.001,0.0
-0.144,0.001,0.0
-0.144,0.001,0.0
-0.143,0.001,0.0
-0.143,0.001,0.0
-0.143,0.001,0.0
-0.143,0.001,0.0
-0.143,0.001,0.0
-0.142,0.001,0.0
-0.142,0.001,0.0
-0.142,0.001,0.0
-0.142,0.001,0.0
-0.142,0.001,0.0
-0.141,0.001,0.0
-0.141,0.001,0.0
-0.141,0.001,0.0
-0.141,0.001,0.0
-0.141,0.001,0.0
-0.14,0.001,0.0
-0.14,0.001,0.0
-0.14,0.001,0.0
-0.14,0.001,0.0
-0.139,0.001,0.0
-0.139,0.001,0.0
-0.139,0.001,0.0
-0.139,0.001,0.0
-0.139,0.001,0.0
-0.138,0.001,0.0
-0.138,0.001,0.0
-0.138,0.001,0.0
-0.138,0.001,0.0
-0.138,0.001,0.0
-0.137,0.001,0.0
-0.137,0.001,0.0
-0.137,0.001,0.0
-0.137,0.001,0.0
-0.136,0.001,0.0
-0.136,0.001,0.0
-0.136,0.001,0.0
-0.136,0.001,0.0
-0.136,0.001,0.0
-0.135,0.001,0.0
-0.135,0.001,0.0
-0.135,0.001,0.0
-0.135,0.001,0.0
-0.135,0.001,0.0
-0.134,0.001,0.0
-0.134,0.001,0.0
-0.134,0.001,0.0
-0.134,0.001,0.0
-0.133,0.001,0.0
-0.133,0.001,0.0
-0.133,0.001,0.0
-0.133,0.001,0.0
-0.133,0.001,0.0
-0.132,0.001,0.0
-0.132,0.001,0.0
-0.132,0.001,0.0
-0.132,0.001,0.0
-0.131,0.001,0.0
-0.131,0.001,0.0
-0.131,0.001,0.0
-0.131,0.001,0.0
-0.131,0.001,0.0
-0.13,0.001,0.0
-0.13,0.001,0.0
-0.13,0.001,0.0
-0.13,0.001,0.0
-0.13,0.001,0.0
-0.129,0.001,0.0
-0.129,0.001,0.0
-0.129,0.001,0.0
-0.129,0.001,0.0
-0.128,0.001,0.0
-0.128,0.001,0.0
-0.128,0.001,0.0
-0.128,0.001,0.0
-0.127,0.001,0.0
-0.127,0.001,0.0
-0.127,0.001,0.0
-0.127,0.001,0.0
-0.126,0.001,0.0
-0.126,0.001,0.0
-0.126,0.001,0.0
-0.126,0.001,0.0
-0.126,0.001,0.0
-0.125,0.001,0.0
-0.125,0.001,0.0
-0.125,0.001,0.0
-0.125,0.001,0.0
-0.124,0.001,0.0
-0.124,0.001,0.0
-0.124,0.001,0.0
-0.124,0.001,0.0
-0.124,0.001,0.0
-0.123,0.001,0.0
-0.123,0.001,0.0
-0.123,0.001,0.0
-0.123,0.001,0.0
-0.122,0.001,0.0
-0.122,0.001,0.0
-0.122,0.001,0.0
-0.122,0.001,0.0
-0.122,0.001,0.0
-0.121,0.001,0.0
-0.121,0.001,0.0
-0.121,0.001,0.0
-0.121,0.001,0.0
-0.12,0.001,0.0
-0.12,0.001,0.0
-0.12,0.001,0.0
-0.12,0.001,0.0
-0.12,0.001,0.0
-0.119,0.001,0.0
-0.119,0.001,0.0
-0.119,0.001,0.0
-0.119,0.001,0.0
-0.118,0.001,0.0
-0.118,0.001,0.0
-0.118,0.001,0.0
-0.118,0.001,0.0
-0.118,0.001,0.0
-0.117,0.001,0.0
-0.117,0.001,0.0
-0.117,0.001,0.0
-0.117,0.001,0.0
-0.116,0.001,0.0
-0.116,0.001,0.0
-0.116,0.001,0.0
-0.116,0.001,0.0
-0.116,0.001,0.0
-0.115,0.001,0.0
-0.115,0.001,0.0
-0.115,0.001,0.0
-0.115,0.001,0.0
-0.114,0.001,0.0
-0.114,0.0011,0.0
-0.114,0.0011,0.0
-0.114,0.0011,0.0
-0.114,0.0011,0.0
-0.113,0.0011,0.0
-0.113,0.0011,0.0
-0.113,0.0011,0.0
-0.113,0.0011,0.0
-0.112,0.0011,0.0
-0.112,0.0011,0.0
-0.112,0.0011,0.0
-0.112,0.0011,0.0
-0.112,0.0011,0.0
-0.111,0.0011,0.0
-0.111,0.0011,0.0
-0.111,0.0011,0.0
-0.111,0.0011,0.0
