offsetCenter,differenceForward,steeringAngle
0.234,0.0218,-0.0
0.241,0.0197,-0.0
-0.25,0.0162,-0.0
-0.257,0.0127,-0.0
-0.265,0.0083,-0.0
-0.272,0.0048,-0.1
-0.28,0.0025,-0.1
-0.286,0.0021,-0.1
-0.248,0.0039,-0.1
-0.251,0.0049,-0.1
-0.257,0.0061,-0.1
-0.262,0.0073,-0.1
-0.268,0.0088,-0.1
-0.274,0.0091,-0.0
-0.28,0.0076,-0.0
-0.286,0.0045,-0.0
-0.292,0.0018,-0.1
-0.299,0.0,-0.1
-0.304,0.0002,-0.1
-0.26,0.0018,-0.1
-0.269,0.0029,-0.1
-0.275,0.0041,-0.1
-0.281,0.0058,-0.1
-0.286,0.006,-0.0
-0.291,0.0048,-0.0
-0.297,0.0026,-0.1
-0.303,0.0016,-0.2
-0.308,0.0015,-0.1
-0.316,0.0028,-0.1
-0.321,0.0037,-0.1
-0.282,0.0068,-0.1
-0.288,0.0083,-0.1
-0.294,0.0101,-0.1
-0.3,0.0105,-0.0
-0.305,0.0094,-0.0
-0.31,0.0073,-0.0
-0.316,0.0036,-0.0
-0.321,0.0007,-0.1
-0.328,0.0013,-0.1
-0.333,0.0016,-0.1
-0.338,0.0013,-0.1
-0.301,0.0015,-0.1
-0.306,0.0025,-0.1
-0.312,0.0043,-0.1
-0.316,0.0044,-0.0
-0.32,0.0031,-0.0
-0.325,0.0004,-0.0
-0.329,0.0022,-0.1
-0.334,0.0038,-0.1
-0.338,0.0041,-0.1
-0.343,0.0038,-0.1
-0.31,0.001,-0.1
-0.313,0.0002,-0.1
-0.318,0.002,-0.1
-0.323,0.0035,-0.1
-0.327,0.0053,-0.1
-0.332,0.0055,-0.0
-0.336,0.0043,-0.0
-0.341,0.0018,-0.1
-0.346,0.001,-0.1
-0.352,0.0009,-0.1
-0.357,0.0019,-0.1
-0.325,0.0044,-0.1
-0.331,0.0064,-0.1
-0.335,0.0066,-0.0
-0.339,0.0053,-0.0
-0.344,0.003,-0.1
-0.35,0.0022,-0.1
-0.356,0.0026,-0.2
-0.36,0.0044,-0.1
-0.366,0.006,-0.1
-0.37,0.0079,-0.1
-0.342,0.0111,-0.1
-0.346,0.0118,-0.0
-0.351,0.0101,-0.0
-0.356,0.0073,-0.0
-0.361,0.0044,-0.1
-0.365,0.0015,-0.0
-0.37,0.0021,-0.1
