offsetCenter,differenceForward,steeringAngle
-0.289,0.0622,0.1
-0.279,0.0583,0.1
0.268,0.0529,0.1
0.258,0.0486,0.0
0.248,0.0458,0.0
0.237,0.0441,0.0
0.229,0.0431,0.0
0.221,0.0426,0.0
0.214,0.0417,0.1
0.208,0.0395,0.1
0.202,0.0358,0.1
0.196,0.0312,0.1
0.191,0.0256,0.1
0.185,0.0214,0.0
0.18,0.0186,0.0
0.176,0.0169,0.0
0.172,0.0156,0.0
0.17,0.0146,0.1
0.168,0.0122,0.1
0.167,0.0084,0.1
0.166,0.0041,0.1
0.166,0.0007,0.1
0.165,0.0054,0.0
0.165,0.008,0.0
0.166,0.01,0.0
0.168,0.0107,0.0
0.17,0.0111,0.0
0.172,0.0122,0.1
0.175,0.0143,0.1
0.179,0.0174,0.1
0.183,0.0221,0.1
0.188,0.0273,0.1
0.193,0.0324,0.1
0.2,0.0345,0.1
0.205,0.0357,0.0
0.21,0.0349,0.0
0.216,0.0332,0.0
0.222,0.0315,0.1
0.23,0.0301,0.1
0.236,0.0301,0.1
0.243,0.0313,0.1
0.241,0.0283,0.1
0.247,0.0291,0.0
0.251,0.0281,0.0
0.257,0.0258,0.0
0.262,0.0234,0.0
0.268,0.0207,0.1
0.275,0.0197,0.1
0.28,0.0199,0.1
0.285,0.0206,0.1
0.29,0.022,0.1
0.278,0.0189,0.1
0.284,0.0214,0.1
0.289,0.0224,0.0
0.293,0.0219,0.0
0.298,0.0198,0.0
0.304,0.0179,0.1
0.311,0.0168,0.1
0.317,0.0173,0.1
0.322,0.0183,0.1
0.302,0.0149,0.1
0.306,0.0164,0.1
0.311,0.0173,0.0
0.316,0.0168,0.1
0.32,0.0157,0.0
0.325,0.0134,0.0
0.332,0.0111,0.1
0.338,0.0101,0.1
0.343,0.0104,0.1
0.347,0.0112,0.1
0.318,0.0078,0.1
0.323,0.0096,0.1
0.329,0.0118,0.1
0.333,0.013,0.0
0.337,0.0123,0.0
0.343,0.0111,0.1
0.352,0.0105,0.1
0.358,0.0111,0.1
0.363,0.0125,0.1
0.368,0.0139,0.1
0.332,0.0109,0.1
0.338,0.013,0.1
0.343,0.0139,0.0
0.349,0.0132,0.0
0.355,0.0111,0.0
0.361,0.0091,0.1
0.369,0.008,0.1
0.375,0.0082,0.1
0.382,0.0092,0.1
0.338,0.0059,0.1
0.344,0.0077,0.1
0.35,0.0098,0.1
0.356,0.0109,0.0
0.362,0.0102,0.0
0.367,0.0092,0.1
0.375,0.0082,0.1
0.384,0.0089,0.1
0.39,0.0101,0.1
0.397,0.0114,0.1
0.345,0.0085,0.1
0.359,0.0115,0.0
0.365,0.0113,0.0
0.372,0.0092,0.0
0.381,0.0073,0.1
0.39,0.0063,0.1
0.398,0.007,0.1
0.405,0.008,0.1
0.411,0.0094,0.1
0.351,0.0061,0.1
0.359,0.0083,0.1
0.366,0.0093,0.0
0.374,0.0085,0.0
0.381,0.0064,0.0
0.39,0.0043,0.1
0.396,0.0036,0.1
0.403,0.0036,0.1
0.411,0.0042,0.1
0.344,0.0008,0.1
0.353,0.0026,0.1
0.36,0.0047,0.1
0.368,0.0066,0.1
0.375,0.0079,0.0
0.381,0.0075,0.0
0.389,0.0066,0.1
0.398,0.0059,0.1
0.407,0.0066,0.1
0.416,0.0077,0.1
0.344,0.005,0.1
0.353,0.0067,0.1
0.361,0.0088,0.1
0.37,0.0099,0.0
0.378,0.0093,0.0
0.387,0.0074,0.0
0.397,0.0055,0.1
0.406,0.0048,0.1
0.416,0.0047,0.1
0.424,0.0054,0.1
0.342,0.002,0.1
0.352,0.0037,0.1
0.361,0.0059,0.1
0.37,0.0068,0.0
0.379,0.0061,0.0
0.389,0.0046,0.1
0.399,0.0042,0.1
0.409,0.0046,0.1
0.419,0.0057,0.1
0.429,0.0072,0.1
0.341,0.0045,0.1
0.351,0.0064,0.1
0.362,0.0074,0.0
0.371,0.0064,0.0
0.382,0.0041,0.0
0.391,0.0022,0.1
0.4,0.001,0.1
0.41,0.0005,0.1
0.42,0.0011,0.1
0.431,0.0024,0.1
0.336,0.0006,0.1
0.346,0.0013,0.1
0.358,0.0037,0.1
0.367,0.0047,0.0
0.378,0.0048,0.1
0.387,0.005,0.1
0.399,0.0057,0.1
0.409,0.0069,0.1
0.421,0.0087,0.1
0.321,0.0058,0.1
0.332,0.008,0.1
0.345,0.0102,0.1
0.356,0.0115,0.0
0.369,0.0106,0.0
0.382,0.0094,0.1
0.392,0.009,0.1
0.404,0.0091,0.1
0.417,0.0102,0.1
0.43,0.0116,0.1
0.324,0.009,0.1
0.337,0.0109,0.1
0.351,0.0134,0.1
0.364,0.0144,0.0
0.377,0.0144,0.1
0.391,0.0145,0.1
0.403,0.0152,0.1
0.418,0.0168,0.1
0.431,0.0183,0.1
0.445,0.0202,0.1
0.334,0.0176,0.1
0.349,0.02,0.1
0.365,0.0222,0.1
0.381,0.0251,0.2
0.398,0.0282,0.1
0.411,0.0304,0.1
0.425,0.0326,0.1
0.443,0.0351,0.1
0.466,0.0362,0.1
0.345,0.0304,0.1
0.37,0.0296,0.0
0.391,0.0277,0.0
0.41,0.025,0.1
0.429,0.0233,0.1
0.474,0.0222,0.1
0.497,0.0227,0.1
0.518,0.0231,0.1
0.354,0.0153,0.1
0.375,0.0161,0.1
0.399,0.0174,0.1
-0.421,0.0187,0.2
-0.443,0.0207,0.1
-0.463,0.022,0.1
-0.481,0.0231,0.1
-0.503,0.0245,0.1
-0.527,0.0257,0.1
0.373,0.0181,0.1
-0.379,0.0192,0.1
-0.401,0.0194,0.0
-0.424,0.0179,0.1
-0.445,0.017,0.1
-0.466,0.0167,0.1
-0.487,0.017,0.1
-0.512,0.0175,0.1
-0.535,0.0185,0.1
0.403,0.0104,0.1
0.386,0.0115,0.1
-0.396,0.011,0.0
-0.419,0.0096,0.1
-0.44,0.0085,0.1
-0.46,0.0081,0.1
-0.484,0.0085,0.1
-0.506,0.0089,0.1
-0.53,0.0098,0.1
0.422,0.0017,0.1
0.404,0.0031,0.1
0.388,0.0039,0.1
-0.405,0.0055,0.2
-0.424,0.007,0.1
-0.447,0.0083,0.1
-0.47,0.0099,0.1
-0.499,0.0111,0.1
0.45,0.0039,0.1
0.434,0.0049,0.1
0.42,0.0062,0.1
0.408,0.0077,0.2
0.395,0.0091,0.1
-0.412,0.0108,0.1
-0.438,0.0121,0.1
-0.466,0.0137,0.1
-0.492,0.0147,0.1
0.468,0.0072,0.1
0.454,0.0082,0.1
0.441,0.0096,0.1
0.429,0.011,0.2
0.418,0.0128,0.1
0.406,0.0144,0.1
-0.429,0.0159,0.1
-0.457,0.0173,0.1
-0.486,0.0188,0.1
0.488,0.0109,0.1
0.475,0.0111,0.0
0.462,0.0087,0.0
0.453,0.0064,0.1
0.443,0.0047,0.1
0.433,0.0036,0.1
-0.422,0.0037,0.1
-0.447,0.0039,0.1
0.511,0.0041,0.1
0.498,0.0035,0.1
0.489,0.0028,0.1
0.478,0.0018,0.1
0.468,0.0005,0.2
0.456,0.0014,0.1
0.444,0.003,0.1
0.434,0.0044,0.1
-0.429,0.0056,0.1
0.513,0.0019,0.1
0.503,0.0008,0.1
0.493,0.0001,0.1
0.483,0.002,0.2
0.474,0.0037,0.1
0.464,0.0056,0.1
0.455,0.0069,0.1
0.448,0.0082,0.1
0.441,0.0093,0.1
0.519,0.0015,0.1
0.51,0.003,0.1
0.501,0.004,0.1
0.494,0.006,0.2
0.487,0.0078,0.1
0.48,0.0095,0.1
0.475,0.0109,0.1
0.469,0.0121,0.1
0.463,0.0135,0.1
0.528,0.0058,0.1
0.522,0.0072,0.1
0.516,0.0082,0.1
0.51,0.0103,0.2
0.506,0.0121,0.1
0.501,0.0139,0.1
0.497,0.0153,0.1
0.494,0.0168,0.1
0.547,0.0092,0.1
0.538,0.0104,0.0
0.534,0.0094,0.1
0.529,0.0067,0.0
0.525,0.0039,0.1
