offsetCenter,differenceForward,steeringAngle
-0.128,0.0021,-0.0
-0.127,0.0021,-0.0
0.121,1.765,-0.0
0.074,1.7625,-0.0
0.126,0.0021,-0.0
0.005,1.4117,-0.0
0.125,0.0021,-0.0
0.124,0.0021,-0.0
0.124,0.0021,-0.0
0.124,0.0021,-0.0
0.123,0.0021,-0.0
0.123,0.0021,-0.0
0.122,0.0021,-0.0
0.122,0.0021,-0.0
0.121,0.0021,-0.0
0.121,0.0021,-0.0
0.12,0.0021,-0.0
0.12,0.0021,-0.0
0.119,0.0021,-0.0
-0.032,1.737,-0.0
0.118,0.0021,-0.0
0.002,1.4165,-0.0
0.117,0.0022,-0.0
0.117,0.0025,-0.0
0.116,0.0023,-0.0
0.116,0.0026,-0.0
0.115,0.0024,-0.0
0.115,0.0028,-0.0
0.114,0.0025,-0.0
0.114,0.0028,-0.0
0.113,0.0025,-0.0
0.113,0.0028,-0.0
0.112,0.0024,-0.0
0.112,0.0028,-0.0
0.111,0.0023,-0.0
-0.093,0.6803,-0.0
0.11,0.0026,-0.0
0.018,1.4162,-0.0
0.109,0.0024,-0.0
0.108,0.0026,-0.0
0.107,0.0022,-0.0
0.107,0.0025,-0.0
0.106,0.0021,-0.0
0.106,0.0026,-0.0
0.105,0.0022,-0.0
0.105,0.0025,-0.0
0.104,0.0021,-0.0
0.104,0.0026,-0.0
0.103,0.0022,-0.0
0.103,0.0025,-0.0
0.102,0.0021,-0.0
0.102,0.0024,-0.0
0.101,0.0021,-0.0
0.101,0.0025,-0.0
0.1,0.0021,-0.0
0.1,0.0026,-0.0
0.099,0.0023,-0.0
0.099,0.0027,-0.0
0.098,0.0023,-0.0
0.097,0.0024,-0.0
0.097,0.0028,-0.0
0.096,0.0025,-0.0
0.096,0.0029,-0.0
0.095,0.0025,-0.0
0.095,0.003,-0.0
0.094,0.0026,-0.0
0.093,0.003,-0.0
0.092,0.0026,-0.0
0.092,0.003,-0.0
0.091,0.0025,-0.0
0.091,0.0029,-0.0
0.09,0.0029,-0.0
0.089,0.0026,-0.0
0.089,0.003,-0.0
0.088,0.0026,-0.0
0.088,0.003,-0.0
0.087,0.0026,-0.0
0.086,0.0029,-0.0
0.086,0.0029,-0.0
0.085,0.0025,-0.0
0.084,0.0028,-0.0
0.083,0.0024,-0.0
0.083,0.0029,-0.0
0.082,0.0024,-0.0
0.082,0.0029,-0.0
0.081,0.0025,-0.0
